Gene1,Gene2,Type
ARX,EBF3,-
SHOX2,LMO1,+
ARX,LMO1,-
TBX6,MSGN1,+
MEF2A,KLF2,+
SRF,KLF2,+
SMAD3,SIRT1,+
NKX2_5,SIRT1,+
PPARD,SIRT1,+
GATA4,SIRT1,+
HIC1,SIRT1,-
GTF2I,SIRT1,-
GSC,GSC2,+
GSC,EVX1,-
SMAD2,SMARCD3,+
TBX2,TBX20,+
PITX2,TBX20,+
LHX8,LHX6,+
PITX2,LHX6,+
FOXJ1,DLX2,+
PITX2,DLX2,+
PITX2,TBX2,-
TBX3,TBX2,-
TBX20,TBX2,-
DLX5,DLX6,+
DLX2,DLX6,+
MEF2C,DLX6,+
DLX1,DLX6,-
FOXH1,GSC,+
SMAD3,GSC,-
LHX8,GSC,-
GTF2I,GSC,-
PITX2,GSC,-
EVX1,GSC,-
DLX5,GSC,-
MIXL1,GSC,-
SMAD2,GSC,-
SMARCA1,SMARCB1,+
SRF,HMGXB4,+
SMAD3,PPARD,-
PIN1,PPARD,-
TBX20,NKX2_5,+
SHOX2,NKX2_5,+
GATA4,NKX2_5,+
MEF2A,ZNF266,+
FOXH1,MEF2C,+
JAZF1,MEF2C,-
TBX20,MEF2C,-
MEF2A,MEF2C,-
SIRT1,MEF2C,-
MECP2,MEF2C,-
GATA4,MEF2C,-
SMAD3,MEF2C,-
NKX2_5,MEF2C,-
GSC,MIXL1,+
FOXH1,MIXL1,+
SHOX2,ARX,+
DLX2,ARX,+
SMARCA1,SMARCA4,+
GTF2I,SMARCA4,+
HIC1,SMARCA4,+
PITX2,MECP2,+
MEF2C,MECP2,+
DLX5,POU3F3,+
GATA4,LHX9,+
DLX5,GBX2,+
SRF,MRTFA,+
PITX2,JAZF1,+
MYF5,MEF2A,+
MEF2C,MEF2A,+
KLF2,MEF2A,+
MYF6,MEF2A,+
SMAD3,HOXD11,+
SMAD2,HOXD11,+
GATA4,PIAS1,+
GATA4,TBX6,+
TBX5,TBX6,+
PITX2,TBX6,-
NKX2_5,TBX6,-
PITX2,TBX5,-
KLF2,TBX5,-
NKX2_5,TBX5,-
PITX2,MYF5,+
PAX7,MYF5,-
SMAD2,MYF5,-
SMAD3,MYF5,-
MEOX2,MYF5,-
MYF6,MYF5,-
ARX,DLX1,+
PITX2,TBX1,-
GSC,GTF2I,+
MYF5,SP7,+
TBX3,SP7,-
PITX2,SP7,-
DLX5,SP7,-
PRRX1,SP7,-
MEF2C,SP7,-
MEF2A,MYF6,+
SIX4,MYF6,+
MEF2C,MYF6,+
MYF5,MYF6,+
SMAD3,PIN1,+
SMAD2,PIN1,+
MEF2A,MYOCD,+
SMAD3,MYOCD,-
MECP2,MYOCD,-
GATA4,MYOCD,-
MEF2C,MYOCD,-
SMAD2,MYOCD,-
SIRT1,MYOCD,-
NKX2_5,MYOCD,-
SMARCA1,MYOCD,-
PIN1,SMAD2,+
NKX2_5,JARID2,+
GATA4,JARID2,+
GSC,FOXH1,+
SIRT1,HIC1,+
MEF2C,SIX4,+
GBX2,LMO3,+
EBF3,LMO3,+
ARX,LMO3,+
LHX9,LMO3,+
SRF,HOPX,+
MECP2,SRF,-
SIRT1,SRF,-
TBX2,SRF,-
MRTFA,SRF,-
SMAD3,SRF,-
TBX5,SRF,-
MEF2C,SRF,-
DLX2,DLX5,+
DLX6,DLX5,+
MECP2,DLX5,-
DLX1,DLX5,-
MEF2C,DLX5,-
TBX2,TBX3,+
SIRT1,TBX3,-
TBX1,PITX2,-
LHX6,PITX2,-
SMAD2,PITX2,-
MEF2A,PITX2,-
NKX2_5,PITX2,-
PITX2,TWIST2,+
MEF2A,TWIST2,+
MEF2C,GTF2IRD1,+
DLX2,FOXJ1,+
PITX2,FOXJ1,+
SIX1,SKI,+
PPARD,SKI,+
MEF2A,BARX2,+
SRF,BARX2,+
MEF2A,MEOX2,+
MYF5,MYCL,+
SRF,PRRX1,+
NKX2_5,GATA4,+
LHX9,GATA4,-
KLF2,GATA4,-
SMAD2,ANKRD1,+
NKX2_5,ANKRD1,+
GATA4,ANKRD1,+
SMAD3,ANKRD1,+
ARX,SHOX2,-
TBX5,SHOX2,-
