Cell ID,PseudoTime,Time,Experiment
E17699_591,0.295647823911956,591.0,17699
E19447_308,0.1540770385192596,308.0,19447
E7317_1677,0.8389194597298649,1677.0,7317
E18809_1610,0.8054027013506754,1610.0,18809
E1405_54,0.0270135067533766,54.0,1405
E675_20,0.0100050025012506,20.0,675
E17967_514,0.2571285642821411,514.0,17967
E884_577,0.2886443221610805,577.0,884
E8482_1146,0.5732866433216608,1146.0,8482
E6158_969,0.4847423711855928,969.0,6158
E17536_1152,0.576288144072036,1152.0,17536
E6263_189,0.0945472736368184,189.0,6263
E2646_198,0.0990495247623811,198.0,2646
E11705_316,0.1580790395197598,316.0,11705
E6594_473,0.2366183091545773,473.0,6594
E1332_738,0.3691845922961481,738.0,1332
E13753_1632,0.8164082041020511,1632.0,13753
E13943_295,0.1475737868934467,295.0,13943
E8385_641,0.3206603301650825,641.0,8385
E4953_1266,0.6333166583291646,1266.0,4953
E2081_1569,0.7848924462231116,1569.0,2081
E4878_201,0.1005502751375687,201.0,4878
E3889_486,0.2431215607803901,486.0,3889
E1933_432,0.2161080540270135,432.0,1933
E8938_981,0.4907453726863431,981.0,8938
E13506_1723,0.8619309654827414,1723.0,13506
E8242_1568,0.784392196098049,1568.0,8242
E10094_814,0.4072036018009004,814.0,10094
E125_1455,0.727863931965983,1455.0,125
E15742_730,0.3651825912956478,730.0,15742
E8153_749,0.3746873436718359,749.0,8153
E5636_462,0.2311155577788894,462.0,5636
E14419_22,0.0110055027513756,22.0,14419
E11242_1180,0.5902951475737869,1180.0,11242
E2202_1235,0.6178089044522261,1235.0,2202
E19360_965,0.4827413706853427,965.0,19360
E6164_1392,0.6963481740870435,1392.0,6164
E1437_711,0.3556778389194597,711.0,1437
E2103_922,0.4612306153076538,922.0,2103
E14486_1358,0.6793396698349174,1358.0,14486
E15994_1556,0.7783891945972986,1556.0,15994
E12563_373,0.1865932966483241,373.0,12563
E8065_1727,0.8639319659829915,1727.0,8065
E6301_635,0.3176588294147073,635.0,6301
E4104_185,0.0925462731365682,185.0,4104
E16509_1681,0.840920460230115,1681.0,16509
E19558_1003,0.5017508754377189,1003.0,19558
E4585_1009,0.5047523761880941,1009.0,4585
E19081_1547,0.7738869434717359,1547.0,19081
E1862_1663,0.8319159579789895,1663.0,1862
E11779_1294,0.6473236618309155,1294.0,11779
E14778_742,0.3711855927963982,742.0,14778
E10349_1494,0.7473736868434218,1494.0,10349
E18436_1633,0.8169084542271136,1633.0,18436
E344_397,0.1985992996498249,397.0,344
E17142_1564,0.7823911955977989,1564.0,17142
E15204_1586,0.7933966983491746,1586.0,15204
E12546_1055,0.5277638819409705,1055.0,12546
E15369_1891,0.9459729864932466,1891.0,15369
E11185_791,0.3956978489244622,791.0,11185
E13306_102,0.0510255127563781,102.0,13306
E15400_234,0.1170585292646323,234.0,15400
E19312_753,0.376688344172086,753.0,19312
E817_829,0.4147073536768384,829.0,817
E12696_36,0.0180090045022511,36.0,12696
E5201_1072,0.5362681340670336,1072.0,5201
E11257_787,0.3936968484242121,787.0,11257
E5149_857,0.4287143571785893,857.0,5149
E19723_1232,0.6163081540770385,1232.0,19723
E6147_1527,0.7638819409704852,1527.0,6147
E19147_1574,0.7873936968484242,1574.0,19147
E1998_716,0.3581790895447724,716.0,1998
E628_30,0.0150075037518759,30.0,628
E19850_266,0.1330665332666333,266.0,19850
E1114_1040,0.5202601300650325,1040.0,1114
E3444_159,0.0795397698849424,159.0,3444
E17625_808,0.4042021010505253,808.0,17625
E14737_1658,0.8294147073536768,1658.0,14737
E14125_193,0.0965482741370685,193.0,14125
E15392_291,0.1455727863931966,291.0,15392
E18541_1012,0.5062531265632816,1012.0,18541
E1345_533,0.2666333166583292,533.0,1345
E11982_407,0.2036018009004502,407.0,11982
E5508_1684,0.8424212106053026,1684.0,5508
E18793_191,0.0955477738869434,191.0,18793
E8365_1818,0.9094547273636818,1818.0,8365
E16042_727,0.3636818409204602,727.0,16042
E13849_10,0.0050025012506253,10.0,13849
E757_526,0.2631315657828914,526.0,757
E13632_1452,0.7263631815907954,1452.0,13632
E1653_361,0.1805902951475738,361.0,1653
E8426_1687,0.8439219609804902,1687.0,8426
E3932_1867,0.933966983491746,1867.0,3932
E11061_42,0.0210105052526263,42.0,11061
E18371_1363,0.6818409204602301,1363.0,18371
E12505_1468,0.7343671835917959,1468.0,12505
E13249_1893,0.9469734867433716,1893.0,13249
E16115_1749,0.8749374687343672,1749.0,16115
E16831_1600,0.80040020010005,1600.0,16831
E5581_1587,0.7938969484742371,1587.0,5581
E15321_1450,0.7253626813406704,1450.0,15321
E1094_150,0.0750375187593797,150.0,1094
E3206_1591,0.7958979489744873,1591.0,3206
E9648_1413,0.7068534267133567,1413.0,9648
E18495_97,0.0485242621310655,97.0,18495
E2690_127,0.0635317658829414,127.0,2690
E12753_1253,0.6268134067033517,1253.0,12753
E10914_1903,0.951975987993997,1903.0,10914
E12231_1840,0.9204602301150576,1840.0,12231
E15022_1718,0.8594297148574287,1718.0,15022
E11352_765,0.3826913456728364,765.0,11352
E14134_199,0.0995497748874437,199.0,14134
E14867_521,0.2606303151575788,521.0,14867
E1987_631,0.3156578289144572,631.0,1987
E12559_982,0.4912456228114057,982.0,12559
E1141_1280,0.64032016008004,1280.0,1141
E12576_621,0.3106553276638319,621.0,12576
E356_44,0.0220110055027513,44.0,356
E16541_856,0.4282141070535267,856.0,16541
E15426_1844,0.9224612306153076,1844.0,15426
E11473_1825,0.9129564782391196,1825.0,11473
E9329_5,0.0025012506253126,5.0,9329
E16306_1282,0.6413206603301651,1282.0,16306
E4370_964,0.4822411205602801,964.0,4370
E16374_1769,0.8849424712356178,1769.0,16374
E7655_1507,0.7538769384692346,1507.0,7655
E15869_1162,0.5812906453226613,1162.0,15869
E14965_286,0.1430715357678839,286.0,14965
E6581_594,0.2971485742871436,594.0,6581
E9173_299,0.1495747873936968,299.0,9173
E6262_1742,0.8714357178589295,1742.0,6262
E16297_1197,0.59879939969985,1197.0,16297
E16846_88,0.0440220110055027,88.0,16846
E6628_838,0.4192096048024012,838.0,6628
